epoch,train_loss,train_mae,train_rmse,valid_loss,valid_mae,valid_rmse,lr,grad_norm
1,2.6573995785279707,2.6573995785279707,14.665744443373246,2.3613726875998755,2.3613726875998755,8.892014373432506,0.00028,0.5856968153606762
2,2.5215528163042937,2.5215528163042937,13.367621170390736,2.2951372645118018,2.2951372645118018,8.172811045791164,0.00045999999999999996,0.8420372475277293
3,2.4556195399977945,2.4556195399977945,13.022129726409911,2.28148475560275,2.28148475560275,8.270460201032234,0.0006399999999999999,0.9217655859210274
4,2.4210563031109897,2.4210563031109897,12.98423344005238,2.281068960825602,2.281068960825602,8.13286735794761,0.00082,0.8536994950337844
5,2.4075953743674536,2.4075953743674536,12.91735103780573,2.3513806010737563,2.3513806010737563,8.198861468922008,0.001,0.8586344304409894
6,2.386782490123402,2.386782490123402,12.844493189725009,2.262167067238779,2.262167067238779,8.143225366419012,0.0009999351773732016,0.8308659241958098
7,2.378172382441434,2.378172382441434,12.768453485315495,2.273434360822042,2.273434360822042,8.100740627809005,0.000999740726317523,0.9504856621677226
8,2.3629334634000605,2.3629334634000605,12.758805561065675,2.2607254512382275,2.2607254512382275,8.078314008134784,0.000999416697302747,0.8297606988386674
9,2.3539035320281982,2.3539035320281982,12.716028399900956,2.2491062662818213,2.2491062662818213,8.021771654938206,0.0009989631744306228,0.8201398825103586
10,2.341403119130568,2.341403119130568,12.64754287112843,2.255859866286769,2.255859866286769,8.057853481986307,0.0009983802754130377,0.7844860534776341
11,2.3443361553278836,2.3443361553278836,12.65436693538319,2.267381859548164,2.267381859548164,8.108373591394136,0.0009976681515414653,0.8568130923943086
12,2.326736727627841,2.326736727627841,12.558890949596059,2.2484031012563994,2.2484031012563994,8.001296505783543,0.0009968269876476973,0.8538495774973522
13,2.3213587175716053,2.3213587175716053,12.604853924837979,2.2519375230326797,2.2519375230326797,8.025394454146877,0.0009958570020558702,0.8729215546087785
14,2.314440440047871,2.314440440047871,12.528525248440829,2.248495185013973,2.248495185013973,8.144090349023992,0.0009947584465258,0.9496056283062154
15,2.303849277713082,2.303849277713082,12.503675603866578,2.2542291337793525,2.2542291337793525,7.954382845849702,0.0009935316061876374,0.9046238392591477
16,2.302567342194644,2.302567342194644,12.449290483648127,2.237525311383334,2.237525311383334,8.08507177324006,0.0009921767994678626,0.9805436378175562
17,2.2905693552710793,2.2905693552710793,12.40710699341514,2.2554562742059883,2.2554562742059883,8.182752927144369,0.0009906943780066371,0.9536438345909118
18,2.284405663880435,2.284405663880435,12.398165694150057,2.265637347192475,2.265637347192475,8.213309186877627,0.000989084726566536,1.042982230945067
19,2.279559223218398,2.279559223218398,12.308558533408425,2.2676392540787207,2.2676392540787207,8.161637609655207,0.0009873482629326829,1.0626763181252914
20,2.2850494894114406,2.2850494894114406,12.304715234583075,2.2780835231145224,2.2780835231145224,8.218292944359057,0.0009854854378043131,1.1890047452666543
21,2.273727600141005,2.273727600141005,12.323221050609241,2.2706729209784307,2.2706729209784307,8.309930714693936,0.0009834967346777955,1.0934893675825812
22,2.2652128837325356,2.2652128837325356,12.217757389762184,2.2573956395640518,2.2573956395640518,8.409272815241959,0.0009813826697211404,1.0796170410784809
23,2.263898102803664,2.263898102803664,12.252446261319248,2.287046916557081,2.287046916557081,8.32996248476433,0.0009791437916400285,1.1758737618272954
24,2.256223066286607,2.256223066286607,12.200772523880005,2.2601674325538403,2.2601674325538403,8.226139733285615,0.0009767806815353939,1.2516679389910264
25,2.2516310876066035,2.2516310876066035,12.167968455227939,2.2850941238981304,2.2850941238981304,8.394733255559748,0.0009742939527525992,1.1543173391710628
26,2.247617087580941,2.247617087580941,12.119046692414717,2.286079016598788,2.286079016598788,8.681283459518895,0.0009716842507222428,1.237548161094839
27,2.24098214561289,2.24098214561289,12.141843635385687,2.2654266863158257,2.2654266863158257,8.352258292111484,0.0009689522527926358,1.160342213782397
