epoch,train_loss,train_mae,train_rmse,valid_loss,valid_mae,valid_rmse,lr,grad_norm
1,2.676321385123513,2.676321385123513,13.411227252266624,2.3659290942278774,2.3659290942278774,8.164081717982437,0.001,1.077180360664021
2,2.445851142839952,2.445851142839952,13.029143186049028,2.269882650086374,2.269882650086374,8.125028097268308,0.001,1.4406906014139003
3,2.401879661733454,2.401879661733454,12.885177863727916,2.2696305694002095,2.2696305694002095,8.119280641729182,0.001,1.5328770897605202
4,2.356996768171137,2.356996768171137,12.77678711197593,2.282136953238285,2.282136953238285,8.141666303981435,0.001,1.3363187938928605
5,2.334402707490054,2.334402707490054,12.689455283771862,2.2847158005743315,2.2847158005743315,8.138618859377774,0.001,1.21990512880412
6,2.321313360604373,2.321313360604373,12.692005157470703,2.293410947828582,2.293410947828582,8.156975926774921,0.001,1.3347675136544488
7,2.314355105703527,2.314355105703527,12.631137756867842,2.2805519862608477,2.2805519862608477,8.108720490426728,0.001,1.2836265791546215
8,2.301590091531927,2.301590091531927,12.639297823472457,2.2758444222536953,2.2758444222536953,8.086494546948057,0.001,1.2822476842186668
9,2.296555600383065,2.296555600383065,12.636717705293135,2.2817928538177954,2.2817928538177954,8.160691600857358,0.001,1.3328231638128107
10,2.289453089237213,2.289453089237213,12.596401036869397,2.259293227484732,2.259293227484732,8.078312382553563,0.001,1.397221209786155
11,2.286033291166479,2.286033291166479,12.587649015946822,2.2958318500807793,2.2958318500807793,8.217091582038186,0.001,1.4398936033248901
12,2.28225359916687,2.28225359916687,12.525212261893532,2.345786958029776,2.345786958029776,8.40403524312106,0.001,1.612791701338508
13,2.2722892197695645,2.2722892197695645,12.569143156571823,2.2912881338235103,2.2912881338235103,8.152898318839796,0.001,1.6330024578354576
14,2.2547713994979857,2.2547713994979857,12.491867459904064,2.3169399572141245,2.3169399572141245,8.30824336861119,0.001,1.4066854065114802
15,2.248127735744823,2.248127735744823,12.448460492220791,2.317764007683956,2.317764007683956,8.290974212415291,0.001,1.5472159000960264
16,2.2518910429694436,2.2518910429694436,12.42929688800465,2.3378716056997124,2.3378716056997124,8.422726956280796,0.001,1.8776370817964727
17,2.2229990569027986,2.2229990569027986,12.322091618451205,2.2922421910546045,2.2922421910546045,8.254660216244785,0.001,1.331357796083797
18,2.214275940981778,2.214275940981778,12.289376987110485,2.3130049308141074,2.3130049308141074,8.446593364079794,0.001,1.580925270102241
19,2.2047121438113124,2.2047121438113124,12.185333828492599,2.312393155964938,2.312393155964938,8.317098212964607,0.001,1.6226548059420152
20,2.1979001077738674,2.1979001077738674,12.134834666685624,2.325171376719619,2.325171376719619,8.397942514130563,0.001,1.618529305674813
21,2.188873718001626,2.188873718001626,12.128493985262784,2.3315881815823642,2.3315881815823642,8.46506709763498,0.001,1.5512209111993962
22,2.1813577316024086,2.1813577316024086,12.04114083810286,2.3366634051005044,2.3366634051005044,8.70001652024009,0.001,1.602940366484902
23,2.170011492209001,2.170011492209001,12.030035976930098,2.3845448891321817,2.3845448891321817,8.830996209924871,0.001,1.5402607608925212
24,2.166995057192716,2.166995057192716,11.966084116155452,2.3461908860640093,2.3461908860640093,8.728579578977643,0.001,1.7730975373224778
25,2.161687176877802,2.161687176877802,11.929809093475342,2.3846083626602637,2.3846083626602637,9.126647501280814,0.001,1.7990674045952884
26,2.1508885416117582,2.1508885416117582,11.848185604268854,2.3809869144902085,2.3809869144902085,9.23036190957734,0.001,1.691365959969434
