epoch,train_loss,train_mae,train_rmse,valid_loss,valid_mae,valid_rmse,lr,grad_norm
1,2.673592016913674,2.673592016913674,14.851872392134233,2.3842794931296147,2.3842794931296147,9.06095618912668,8.399999999999998e-05,0.5795190085064281
2,2.66177592494271,2.66177592494271,14.724450796300715,2.3814326416362417,2.3814326416362417,9.0680237827879,0.00013799999999999997,0.5755425255406986
3,2.6540533737702803,2.6540533737702803,14.611616403406316,2.3700298070907593,2.3700298070907593,9.083581332004432,0.00019199999999999995,0.5967291964726015
4,2.5932548837228255,2.5932548837228255,14.179875842007723,2.3054822358218106,2.3054822358218106,8.559281060189912,0.00024599999999999996,0.6798749054020101
5,2.480462762442502,2.480462762442502,13.279030227661133,2.2858415083451704,2.2858415083451704,8.22166200840112,0.0003,0.7690437162464315
6,2.456599585576491,2.456599585576491,13.098810950192538,2.3024392633727104,2.3024392633727104,8.206190268198648,0.0002999805986332205,0.7711869407783855
7,2.4417877153916794,2.4417877153916794,12.997093625502153,2.2641253146258267,2.2641253146258267,8.129154761632284,0.00029992239956850794,0.7648978263139725
8,2.425917229869149,2.425917229869149,12.97463209845803,2.2551736398176714,2.2551736398176714,8.117415088595767,0.0002998254179114328,0.7512880086898803
9,2.397908248684623,2.397908248684623,12.885581441359086,2.248455499157761,2.248455499157761,8.222422888784697,0.00029968967883358983,0.8333892434835434
10,2.3600609757683495,2.3600609757683495,12.792100516232578,2.2444805593201607,2.2444805593201607,8.24222105922121,0.0002995152175660644,0.7988141127608039
11,2.3405760277401315,2.3405760277401315,12.728708093816584,2.2714307994553535,2.2714307994553535,8.28900939768011,0.00029930207939028844,0.7501183079047636
12,2.332333825935017,2.332333825935017,12.66056621724909,2.2771439480059072,2.2771439480059072,8.251579335241606,0.0002990503196262878,0.7764259240844033
13,2.3218803600831466,2.3218803600831466,12.664739418029786,2.2566654393167207,2.2566654393167207,8.213661143274019,0.00029876000361832354,0.7255912580273368
14,2.3148226434534247,2.3148226434534247,12.632613528858531,2.245049899274653,2.245049899274653,8.194240873510187,0.00029843120671793215,0.7153658170591701
15,2.309750770438801,2.309750770438801,12.602770267833362,2.26927823008913,2.26927823008913,8.238581079425234,0.00029806401426436796,0.7071101145310835
16,2.305607248436321,2.305607248436321,12.546784583005039,2.251248193509651,2.251248193509651,8.219684586380467,0.0002976585215624534,0.717176416516304
17,2.2987525148825214,2.2987525148825214,12.497953068126332,2.2605678565574414,2.2605678565574414,8.24014459956776,0.0002972148338578424,0.6985468341545625
18,2.2928191423416138,2.2928191423416138,12.512729956886986,2.2579442009781348,2.2579442009781348,8.20274584943598,0.000296733066309704,0.70222462171858
19,2.28868366913362,2.28868366913362,12.409382668408481,2.2734732194380327,2.2734732194380327,8.28223931428158,0.00029621334396083305,0.7382503048940139
