epoch,train_loss,train_mae,train_rmse,valid_loss,valid_mae,valid_rmse,lr,grad_norm
1,2.589789050275629,2.589789050275629,14.190661430358887,2.325867129094673,2.325867129094673,8.195888403690223,0.0003,0.7636310422962362
2,2.493712481585416,2.493712481585416,13.246873266046697,2.295881668726603,2.295881668726603,8.211125258243445,0.0003,0.8776746329936114
3,2.4635950283570724,2.4635950283570724,13.099271939017555,2.3010990222295127,2.3010990222295127,8.229235461263945,0.0003,0.9682452540506016
4,2.432083569873463,2.432083569873463,13.034262683174827,2.2997784397818823,2.2997784397818823,8.152778249798398,0.0003,0.9843987527218732
5,2.4071407090533863,2.4071407090533863,12.948365497589112,2.2889918197285044,2.2889918197285044,8.158162853934549,0.0003,0.9916520045562224
6,2.38591369823976,2.38591369823976,12.898463075811213,2.264839049541589,2.264839049541589,8.207462700930508,0.0003,0.9984110978516665
7,2.362397838722576,2.362397838722576,12.794012641906738,2.2678870143312397,2.2678870143312397,8.195167671550404,0.0003,0.9825224841182882
8,2.341096381707625,2.341096381707625,12.743180981549349,2.27773236505913,2.27773236505913,8.215657270315921,0.0003,0.9444755150513215
9,2.3253446893258527,2.3253446893258527,12.691339713876898,2.262874054186272,2.262874054186272,8.245167313200055,0.0003,0.9768006194721569
10,2.31158748106523,2.31158748106523,12.643915882977572,2.2476157744725547,2.2476157744725547,8.203322179389723,0.0003,0.9893498894843188
11,2.3052075602791526,2.3052075602791526,12.615680607882412,2.280009667078654,2.280009667078654,8.224884856830943,0.0003,1.0480743576179852
12,2.2998340650038287,2.2998340650038287,12.560611126639627,2.2812526804028135,2.2812526804028135,8.211731022054499,0.0003,1.0772141654383052
13,2.294604569131678,2.294604569131678,12.623669962449508,2.2775482806292446,2.2775482806292446,8.199848702459624,0.0003,1.0547310894185846
14,2.2831957123496314,2.2831957123496314,12.552860936251554,2.258101228511695,2.258101228511695,8.185045466278538,0.0003,0.9614587586034428
15,2.279608777436343,2.279608777436343,12.539553824338046,2.2562518553300337,2.2562518553300337,8.161915966958711,0.0003,1.0033075002106753
16,2.2738504843278364,2.2738504843278364,12.494418807463212,2.2767307180346865,2.2767307180346865,8.207832408673836,0.0003,1.034491382132877
17,2.269337423281236,2.269337423281236,12.472793670134111,2.257708856553742,2.257708856553742,8.147112044421108,0.0003,1.02926872047511
18,2.260699630867351,2.260699630867351,12.484768685427579,2.2617357282927544,2.2617357282927544,8.134278145703403,0.0003,1.0490205271677537
19,2.2587733160365713,2.2587733160365713,12.420376404848966,2.3007687041253755,2.3007687041253755,8.198632659334125,0.0003,1.0895297478545796
20,2.2562090721997348,2.2562090721997348,12.409871318123557,2.2731756369272866,2.2731756369272866,8.118534268754901,0.0003,1.1598872509869662
21,2.242062457041307,2.242062457041307,12.411915644732389,2.3230772162928726,2.3230772162928726,8.231411644906709,0.0003,1.0093448384241623
22,2.2333674159916965,2.2333674159916965,12.335863070054488,2.2724416581067173,2.2724416581067173,8.12481049335364,0.0003,0.9932595242153515
23,2.2291676239533857,2.2291676239533857,12.3457528851249,2.29728627204895,2.29728627204895,8.189103560014205,0.0003,1.1367549327286808
24,2.2159365686503323,2.2159365686503323,12.272579730640759,2.233927510001443,2.233927510001443,8.061919031721173,0.0003,1.0940486092459072
25,2.209390577402982,2.209390577402982,12.249766475504094,2.2654844594724253,2.2654844594724253,8.25852520538099,0.0003,1.1344149459492077
26,2.195238977128809,2.195238977128809,12.153375460884789,2.2777764146978203,2.2777764146978203,8.187074552882802,0.0003,1.0945337479764765
27,2.190573612126437,2.190573612126437,12.15510014187206,2.2476405808419893,2.2476405808419893,8.186490904201161,0.0003,1.260315131870183
28,2.176983215592124,2.176983215592124,12.094837496497414,2.27480601903164,2.27480601903164,8.174656492291074,0.0003,1.0932709607211026
29,2.1640426527370105,2.1640426527370105,12.038522226160223,2.2572188919240777,2.2572188919240777,8.278026140097415,0.0003,1.0996080496094442
30,2.1581435777924276,2.1581435777924276,11.96512188911438,2.271121129845128,2.271121129845128,8.352834318623398,0.0003,1.1621198518709703
31,2.1513166362589056,2.1513166362589056,11.915215240825306,2.3046642650257456,2.3046642650257456,8.261511744874896,0.0003,1.1864531533284621
32,2.1452449332584034,2.1452449332584034,11.857706707174128,2.2552338405088945,2.2552338405088945,8.627197193376945,0.0003,1.2374870544130152
33,2.1369002602317115,2.1369002602317115,11.787494780800559,2.2520305171157373,2.2520305171157373,8.369972705841064,0.0003,1.2687481760978698
34,2.1198891791430388,2.1198891791430388,11.73373556137085,2.282146681438793,2.282146681438793,8.431053060473818,0.0003,1.1131412603638389
35,2.1130140337077052,2.1130140337077052,11.704156628522005,2.2761258067506733,2.2761258067506733,8.50026747674653,0.0003,1.2329292622479526
36,2.104112673889507,2.104112673889507,11.604090573570945,2.271060759370977,2.271060759370977,8.418088356653849,0.0003,1.2674766914411024
37,2.093720082803206,2.093720082803206,11.587300330942327,2.278096292958115,2.278096292958115,8.446967457280014,0.0003,1.2344671894203534
38,2.0948215733874926,2.0948215733874926,11.542615699768067,2.253455750869982,2.253455750869982,8.272468494646477,0.0003,1.5477429774674503
39,2.0767445705153724,2.0767445705153724,11.481333689256148,2.295286203875686,2.295286203875686,8.567341818954006,0.0003,1.3138125045733018
40,2.0737871105020695,2.0737871105020695,11.451995034651322,2.284083124363061,2.284083124363061,8.615321087114738,0.0003,1.5389293681491505
41,2.0622457005760886,2.0622457005760886,11.39892808307301,2.2863277955488726,2.2863277955488726,8.570305882078229,0.0003,1.3652282481843776
42,2.058927542513067,2.058927542513067,11.36375565962358,2.295634872985609,2.295634872985609,8.460228948882133,0.0003,1.5067267965186726
43,2.043256665359844,2.043256665359844,11.297086702693592,2.2736110181519478,2.2736110181519478,8.478431311520664,0.0003,1.3206500172615052
44,2.039279615879059,2.039279615879059,11.261053098331798,2.2960753549229014,2.2960753549229014,8.794202082084887,0.0003,1.3938558768142353
45,2.028048042817549,2.028048042817549,11.226962245594372,2.2926676381718027,2.2926676381718027,8.613063552162863,0.0003,1.299874487248334
46,2.0232707977294924,2.0232707977294924,11.189986402338201,2.306005279223124,2.306005279223124,8.699872826084945,0.0003,1.3624898238615557
47,2.0198117516257548,2.0198117516257548,11.15607425516302,2.3138455441503814,2.3138455441503814,8.871273662104752,0.0003,1.5104651342738757
48,2.015160026333549,2.015160026333549,11.0603506044908,2.3246883117791377,2.3246883117791377,8.590798811479049,0.0003,1.520641707832163
49,2.008546782623638,2.008546782623638,11.074861392107877,2.365688580455202,2.365688580455202,9.005157441803902,0.0003,1.5001277240839872
50,2.0041445710442285,2.0041445710442285,11.052003526687622,2.2932652307279184,2.2932652307279184,8.793793259244977,0.0003,1.548326155272397
51,1.9986676346171985,1.9986676346171985,11.03984295238148,2.3074139031496914,2.3074139031496914,8.64306303949067,0.0003,1.5158973932266235
52,1.9931322054429488,1.9931322054429488,10.971198268370195,2.3125743938214853,2.3125743938214853,8.583507797934793,0.0003,1.5605423179539768
53,1.9856230063871905,1.9856230063871905,10.89642029242082,2.3052040988748725,2.3052040988748725,8.81041347619259,0.0003,1.4357954052361575
54,1.9824190508235584,1.9824190508235584,10.88885008205067,2.3019214651801367,2.3019214651801367,8.825190630826084,0.0003,1.487117420543324
55,1.981686975739219,1.981686975739219,10.858649518273094,2.338392799550837,2.338392799550837,8.794862385952111,0.0003,1.7212275109507822
56,1.978162903135473,1.978162903135473,10.79836947701194,2.30207338477626,2.30207338477626,8.803632750655666,0.0003,1.6104021191596984
57,1.9743652788075534,1.9743652788075534,10.777804764834316,2.3499449852741128,2.3499449852741128,8.77422977216316,0.0003,1.7215121101249349
58,1.9687267000024968,1.9687267000024968,10.691883251883766,2.3056949413183965,2.3056949413183965,8.779203732808432,0.0003,1.6091322828422894
59,1.9626774191856384,1.9626774191856384,10.681028218702837,2.3430248679536763,2.3430248679536763,8.955027797005393,0.0003,1.5359625133601102
60,1.957343181696805,1.957343181696805,10.65790142579512,2.341421557195259,2.341421557195259,8.950489029739842,0.0003,1.5490641138770365
61,1.9536333842711016,1.9536333842711016,10.642876122214577,2.3588001330693564,2.3588001330693564,8.969869584748238,0.0003,1.5331123688004233
62,1.948888863216747,1.948888863216747,10.586555116826839,2.3522551601583306,2.3522551601583306,9.26862232612841,0.0003,1.609380998394706
63,1.949543349309401,1.949543349309401,10.576268625259399,2.3297670032038833,2.3297670032038833,9.0372032252225,0.0003,1.8833328366279602
64,1.9468132506717335,1.9468132506717335,10.525911565260454,2.3595860185045185,2.3595860185045185,9.141898473103842,0.0003,1.7729147136211396
65,1.9408406333489852,1.9408406333489852,10.443636868216775,2.320017746000579,2.320017746000579,8.757373939860951,0.0003,1.6569061691110785
66,1.9388120304454457,1.9388120304454457,10.486034176566385,2.345184438156359,2.345184438156359,9.172666491884174,0.0003,1.7460096619345926
67,1.9350686138326472,1.9350686138326472,10.43679125959223,2.3374019463857016,2.3374019463857016,8.967090910131281,0.0003,1.6829278588294982
68,1.930251383781433,1.930251383781433,10.348141886971213,2.3997293782956675,2.3997293782956675,9.308758807904793,0.0003,1.785140955990011
69,1.9324229381301186,1.9324229381301186,10.374154285951095,2.3568196260567866,2.3568196260567866,9.271700526728775,0.0003,1.8172711930491707
70,1.9285538532517172,1.9285538532517172,10.350212829763239,2.3499869072076045,2.3499869072076045,9.198369936509566,0.0003,1.7707626424052498
71,1.9286154887892983,1.9286154887892983,10.321586218747226,2.3610342668764517,2.3610342668764517,9.120928879940148,0.0003,1.9597924774343318
72,1.9197307727553627,1.9197307727553627,10.277207383242521,2.3295638344504614,2.3295638344504614,9.129637458107688,0.0003,1.7283143650401722
73,1.9151666283607482,1.9151666283607482,10.18775504285639,2.354909987160654,2.354909987160654,9.129813093127627,0.0003,1.6879123270511627
74,1.9119461959058588,1.9119461959058588,10.171219019456343,2.32939084370931,2.32939084370931,9.108706084164707,0.0003,1.715012330900539
75,1.9135975881056353,1.9135975881056353,10.167409528385509,2.3644294558149395,2.3644294558149395,9.464468276861941,0.0003,1.8526978167620571
